point_cloud_registrate_odom_x_y_z	optimizated_odom_x_y_z
66.0266	44.6285	0.382543	66.1061	44.6417	1.79915
66.1278	45.6304	0.374988	66.1997	45.6441	1.8187
66.2244	46.6496	0.379631	66.2889	46.6639	1.83027
66.2916	47.6871	0.387067	66.3489	47.7016	1.85602
66.3761	48.7184	0.364646	66.4264	48.7332	1.84369
66.4561	49.7442	0.357913	66.4998	49.7592	1.83957
66.5428	50.7797	0.352675	66.5802	50.795	1.87499
66.634	51.8227	0.335583	66.6651	51.8383	1.83347
66.7046	52.8648	0.336219	66.73	52.8805	1.87624
66.7867	53.907	0.325752	66.8064	53.9229	1.85525
66.8641	54.9546	0.319296	66.8784	54.9705	1.86334
66.9383	56.0112	0.32895	66.9476	56.0274	1.88424
67.0196	57.0723	0.322026	67.024	57.0885	1.84404
67.1029	58.1255	0.313179	67.1026	58.1417	1.81975
67.193	59.1829	0.319996	67.1884	59.1994	1.83542
67.2836	60.2505	0.326301	67.2749	60.2672	1.83498
67.3629	61.3161	0.344229	67.3505	61.333	1.8491
67.4572	62.379	0.35125	67.4412	62.3961	1.84172
67.5447	63.4426	0.36824	67.5254	63.46	1.82792
67.6359	64.5006	0.381882	67.6135	64.5182	1.8423
67.7337	65.5472	0.397898	67.7085	65.5651	1.83846
67.8228	66.591	0.421542	67.7951	66.6092	1.83751
67.9216	67.633	0.409435	67.8912	67.651	1.81586
68.0109	68.6725	0.418856	67.9783	68.6906	1.82636
68.0999	69.7028	0.412468	68.0651	69.7206	1.79934
68.1813	70.7316	0.40477	68.1446	70.7492	1.7997
68.2892	71.7609	0.427285	68.2509	71.7788	1.80713
68.3916	72.765	0.402655	68.3516	72.7824	1.77227
68.4728	73.7707	0.407498	68.4314	73.7881	1.7909
68.6351	75.2521	0.39387	68.5916	75.2692	1.79031
68.7574	76.7174	0.406246	68.7122	76.7345	1.80755
68.8959	78.161	0.421695	68.8491	78.1782	1.821
69.0298	79.5912	0.42467	68.9817	79.6083	1.81066
69.1567	80.9986	0.426755	69.1075	81.0155	1.81338
69.2964	82.3726	0.429841	69.2462	82.3893	1.82377
69.4317	83.7241	0.416271	69.3807	83.7403	1.79981
69.5736	85.0588	0.433487	69.5221	85.075	1.81445
69.702	86.3655	0.446663	69.6501	86.3816	1.82336
69.8351	87.6782	0.463311	69.7828	87.6943	1.81603
69.9647	88.9852	0.462485	69.9123	89.0008	1.77241
70.096	90.2968	0.484285	70.0434	90.3125	1.76406
70.1663	91.6323	0.545868	70.1138	91.649	1.81011
70.2258	92.9816	0.603102	70.1736	92.9992	1.83299
70.2381	94.3532	0.647665	70.1862	94.3714	1.83565
70.26	95.7244	0.674311	70.2083	95.7427	1.82598
70.2772	97.1055	0.716487	70.2259	97.1243	1.8265
70.3048	98.4893	0.771383	70.254	98.509	1.82064
70.306	99.8867	0.800628	70.2556	99.9065	1.80961
70.3079	101.288	0.826206	70.2581	101.308	1.78957
70.3429	102.703	0.872061	70.2937	102.723	1.79864
70.382	104.113	0.92702	70.3335	104.134	1.80085
70.4701	105.538	0.976537	70.4223	105.56	1.81086
70.5651	106.98	1.04632	70.5182	107.003	1.79891
70.6999	108.427	1.10554	70.6538	108.452	1.80698
70.871	109.887	1.14826	70.8257	109.912	1.76326
71.0467	111.365	1.23506	71.0024	111.392	1.82414
71.1744	112.357	1.28917	71.1309	112.385	1.8322
71.2993	113.848	1.33992	71.2567	113.877	1.81778
71.4752	115.33	1.38093	71.4333	115.359	1.75848
71.5644	116.327	1.43043	71.5233	116.357	1.78499
71.6545	117.338	1.48318	71.6143	117.37	1.79155
71.7905	118.818	1.56322	71.7515	118.851	1.78914
71.8671	119.818	1.61709	71.8289	119.852	1.78966
71.9475	120.816	1.66403	71.91	120.851	1.78937
72.0651	122.295	1.75037	72.029	122.333	1.81491
72.173	123.767	1.8201	72.1378	123.806	1.7685
72.2902	125.247	1.91496	72.2566	125.289	1.78309
72.4064	126.691	1.99867	72.3739	126.735	1.77701
72.505	128.13	2.10585	72.4742	128.177	1.83024
72.538	129.562	2.19786	72.5087	129.612	1.85509
72.4523	130.96	2.30613	72.4248	131.014	1.85005
72.2719	132.321	2.37874	72.2455	132.377	1.83153
72.0061	133.632	2.4669	71.9812	133.691	1.85784
71.6354	134.909	2.53746	71.6115	134.97	1.86553
71.1391	136.138	2.59701	71.1161	136.2	1.8607
70.5086	137.322	2.64918	70.4864	137.386	1.85525
69.7222	138.478	2.69643	69.7007	138.543	1.87608
68.8411	139.554	2.71245	68.8196	139.619	1.8466
67.8118	140.533	2.72126	67.7902	140.597	1.78355
66.6957	141.432	2.74235	66.6744	141.496	1.7941
65.4948	142.231	2.7831	65.4744	142.297	1.80931
64.2115	142.954	2.80395	64.1915	143.021	1.8016
62.8667	143.562	2.79141	62.8464	143.627	1.8198
61.4776	144.023	2.7856	61.4574	144.088	1.8141
60.5056	144.316	2.7717	60.4853	144.38	1.78408
59.4991	144.544	2.76393	59.4788	144.608	1.85896
58.5019	144.688	2.72951	58.481	144.75	1.79775
